Country,GDP_per_Capita
Aruba,27779.935652171498
Africa Eastern and Southern,1443.2115917863632
Afghanistan,537.7072389614226
Africa Western and Central,1688.3325670728034
Angola,2486.37175447841
Albania,4254.716678834583
Andorra,39819.24941863504
Arab World,6113.760306521896
United Arab Emirates,42400.66360054537
Argentina,13637.363247574032
Armenia,3635.2906700638937
American Samoa,12478.142833585933
Antigua and Barbuda,16533.406028160334
Australia,53509.5940527161
Austria,45380.15666346347
Azerbaijan,4509.46233876362
Burundi,250.98250309952797
Belgium,42261.2261010904
Benin,1022.64228188786
Burkina Faso,667.6528838299643
Bangladesh,1561.58416731804
Bulgaria,7929.280997315884
Bahrain,24106.275302131206
"Bahamas, The",31070.476636053103
Bosnia and Herzegovina,4978.615072435136
Belarus,5597.458826478054
Belize,6123.192447746584
Bermuda,108647.38285130233
Bolivia,3112.7297958930035
Brazil,9284.330808802733
Barbados,19237.61967454447
Brunei Darussalam,28437.602838179533
Bhutan,3180.5459725118167
Botswana,6665.075967178854
Central African Republic,395.274361022234
Canada,43679.2946009614
Central Europe and the Baltics,13270.515420030735
Switzerland,82737.9663974354
Channel Islands,57869.59758169707
Chile,13987.8936555674
China,8469.959323692021
Cote d'Ivoire,1880.5379416921567
Cameroon,1450.9365957956368
"Congo, Dem. Rep.",448.9365291145043
"Congo, Rep.",2248.0307594577866
Colombia,6229.296573981716
Comoros,1372.9264388622967
Cabo Verde,3639.04147782781
Costa Rica,12040.943678615333
Caribbean small states,13779.1125493785
Cuba,8149.695669004643
Curacao,19081.3843990793
Cayman Islands,78078.46937275863
Cyprus,24966.457682291668
Czechia,19199.5883570328
Germany,43466.215544445404
Djibouti,2501.83692209884
Dominica,8436.60314438306
Denmark,55038.83030033387
Dominican Republic,7124.703606497643
Algeria,4554.903952381287
East Asia & Pacific (excluding high income),6838.294348973147
Early-demographic dividend,3331.5929383099997
East Asia & Pacific,10037.625855013466
Europe & Central Asia (excluding high income),6124.447487860959
Europe & Central Asia,22984.780700517033
Ecuador,6042.3732804190295
"Egypt, Arab Rep.",2990.9045679853402
Euro area,35645.794195031696
Spain,27039.796764802635
Estonia,19080.017256269668
Ethiopia,687.8913975132667
European Union,31874.497555716935
Fragile and conflict affected situations,1719.1607930376733
Finland,44032.206464943236
Fiji,5429.389826677554
France,37471.270242473736
Faroe Islands,56299.22367139083
"Micronesia, Fed. Sts.",3056.6236975620836
Gabon,6881.976772238743
United Kingdom,42200.407993657034
Georgia,4216.258556308813
Ghana,1882.5131227160734
Guinea,764.3173660776283
"Gambia, The",637.3718356388009
Guinea-Bissau,702.618470145293
Equatorial Guinea,8110.404222808834
Greece,18177.321824815932
Grenada,9222.261867470159
Greenland,47827.9499304005
Guatemala,4092.8796174183203
Guam,35958.4562815805
Guyana,5896.652962340937
High income,37469.95477695423
"Hong Kong SAR, China",44108.929945279
Honduras,2330.518333202837
Heavily indebted poor countries (HIPC),919.414456652999
Croatia,13003.036040261033
Haiti,1374.9229936640331
Hungary,13578.322867100665
IBRD only,5738.0635571139255
IDA & IBRD total,4605.101722532527
IDA total,1342.0300697053665
IDA blend,1847.6447776494633
Indonesia,3536.191797858793
IDA only,1066.0839154419434
Isle of Man,83420.25601403292
India,1747.2039236703133
Ireland,66900.95765775374
"Iran, Islamic Rep.",5394.295375271634
Iraq,4511.282500037417
Iceland,62316.585634914634
Israel,38341.03800878253
Italy,31625.189308519333
Jamaica,5110.66778838504
Jordan,4031.6966128593067
Japan,37723.38849351311
Kazakhstan,8871.591226804094
Kenya,1570.24339107514
Kyrgyz Republic,1143.4391002658501
Cambodia,1682.95652614752
Kiribati,1745.19065592696
St. Kitts and Nevis,21393.77728917237
"Korea, Rep.",29872.871787263735
Kuwait,28751.185111125233
Latin America & Caribbean (excluding high income),8364.730299598523
Lao PDR,2285.5551820374567
Lebanon,8137.110979286424
Liberia,702.15741374144
Libya,8316.70817931449
St. Lucia,10768.741801422433
Latin America & Caribbean,8842.661022780383
Least developed countries: UN classification,988.3977222894287
Low income,667.63028979915
Liechtenstein,167703.24700167766
Sri Lanka,4201.932007688726
Lower middle income,1918.7087466837831
Low & middle income,4386.37781542814
Lesotho,1061.0190288596884
Late-demographic dividend,8582.553480533992
Lithuania,15334.741765493798
Luxembourg,107518.17331040099
Latvia,14097.665943262333
"Macao SAR, China",72283.08321211697
Morocco,3194.543294270837
Monaco,171568.40999734934
Moldova,3016.6355318170367
Madagascar,463.71921090732
Maldives,10034.114267803614
"Middle East, North Africa, Afghanistan & Pakistan",5140.622723545646
Mexico,9589.48025229187
Marshall Islands,4195.66290923343
Middle income,4724.524967454517
North Macedonia,5605.490110603837
Mali,878.2153294216556
Malta,27435.3342848105
Myanmar,1222.9175363094434
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",2821.078115404857
Montenegro,7082.899279719233
Mongolia,3701.59620681109
Northern Mariana Islands,24372.059971583232
Mozambique,507.66402419254
Mauritania,1578.5729164060033
Mauritius,10105.093807633639
Malawi,495.2937173728567
Malaysia,9662.587319324628
North America,56835.710611236434
Namibia,4771.25166450409
New Caledonia,31332.0961442316
Niger,503.3910598683863
Nigeria,2177.495537265067
Nicaragua,2129.5856881957566
Netherlands,47372.0081424528
Norway,73936.38840178036
Nepal,929.0279464133531
Nauru,8680.38353093839
New Zealand,40576.49200372413
OECD members,36542.1313557324
Oman,17912.8545730573
Other small states,11007.815325555368
Pakistan,1441.4654718282065
Panama,14869.881918840467
Peru,6394.971480199427
Philippines,2977.72502331212
Palau,16162.488780838097
Papua New Guinea,2426.252149102817
Poland,13004.958551978567
Pre-demographic dividend,1381.2780078509334
Puerto Rico (US),29849.539168419065
Portugal,20212.815488324733
Paraguay,5935.58822415278
West Bank and Gaza,3473.3762116327434
Pacific island small states,3890.8669731515565
Post-demographic dividend,41804.289517769
French Polynesia,19894.65609962307
Qatar,64506.26264645453
Romania,9703.179913677237
Russian Federation,9533.26171875
Rwanda,740.6062437248497
South Asia,1749.8385114408236
Saudi Arabia,23151.05579133
Sudan,1097.3670857747404
Senegal,1280.4169638535202
Singapore,57962.48228324743
Solomon Islands,2090.5611459236034
Sierra Leone,862.7261333020643
El Salvador,3903.9359181596396
San Marino,44232.77726216862
"Somalia, Fed. Rep.",472.483840992099
Serbia,6116.909465731794
Sub-Saharan Africa (excluding high income),1638.1879054574467
South Sudan,1080.14718624765
Sub-Saharan Africa,1543.1876918519265
Small states,10708.242435412101
Sao Tome and Principe,1429.5914748660168
Suriname,6835.7814817368735
Slovak Republic,16907.8942903284
Slovenia,21816.063446208165
Sweden,52106.40297018787
Eswatini,3504.850708289317
Sint Maarten (Dutch part),36616.51633684556
Seychelles,16460.15498935903
Syrian Arab Republic,785.1942319426727
Turks and Caicos Islands,26099.118916180596
Chad,903.4278995475316
East Asia & Pacific (IDA & IBRD countries),6915.579183980747
Europe & Central Asia (IDA & IBRD countries),8073.083863191644
Togo,772.1332264657937
Thailand,5978.507445151084
Tajikistan,858.3613134382371
Turkmenistan,5758.319991936846
Latin America & the Caribbean (IDA & IBRD countries),8694.137051088348
Timor-Leste,1307.1048513791532
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2816.6382000037397
Tonga,4159.272986215013
South Asia (IDA & IBRD),1749.8385114408236
Sub-Saharan Africa (IDA & IBRD countries),1543.1876918519265
Trinidad and Tobago,18305.012621779635
Tunisia,3827.261251517313
Turkiye,10905.197067070467
Tuvalu,3777.398371386953
Tanzania,959.6040242513023
Uganda,793.6165047929426
Ukraine,2285.74088541667
Upper middle income,7630.980309791477
Uruguay,17773.436787488536
United States,58291.272356479196
Uzbekistan,2582.39127004076
St. Vincent and the Grenadines,7666.226813182201
Virgin Islands (U.S.),34899.1323775375
Viet Nam,2756.2464042400866
Vanuatu,2990.2937095475595
World,10387.347207774334
Samoa,4179.675211532426
Kosovo,3763.1320303802227
"Yemen, Rep.",1049.5663998216335
South Africa,6127.271586358079
Zambia,1339.47631295282
Zimbabwe,2080.64217136537
